"Case_Type","Cases","Difference","Date","Province_State","Admin2","Lat","Long"
"Confirmed",0,0,2020-03-21,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-22,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-23,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-24,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-25,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-26,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-27,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",1,1,2020-03-28,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",1,0,2020-03-29,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",1,0,2020-03-30,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",1,0,2020-03-31,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",1,0,2020-04-01,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,3,2020-04-02,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,0,2020-04-03,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,0,2020-04-04,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,0,2020-04-05,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,0,2020-04-06,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",4,0,2020-04-07,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",5,1,2020-04-08,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",5,0,2020-04-09,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",5,0,2020-04-10,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-22,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-23,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-24,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-25,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-26,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-27,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-28,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-29,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-30,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-31,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-01,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-02,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-03,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-04,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-05,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-06,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-07,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-08,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-09,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-10,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-11,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-12,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-13,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-14,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-15,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-16,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-17,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-18,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-19,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-20,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-21,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-22,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-23,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-24,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-25,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-26,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-27,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-28,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-02-29,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-01,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-02,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-03,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-04,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-05,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-06,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-07,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-08,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-03-09,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",2,2,2020-03-10,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",3,1,2020-03-11,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",3,0,2020-03-12,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",7,4,2020-03-13,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",10,3,2020-03-14,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",10,0,2020-03-15,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",15,5,2020-03-16,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",15,0,2020-03-17,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",22,7,2020-03-18,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",22,0,2020-03-19,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",29,7,2020-03-20,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",40,11,2020-03-21,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",45,5,2020-03-22,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",58,13,2020-03-23,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",58,0,2020-03-24,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",69,11,2020-03-25,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",119,50,2020-03-26,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",119,0,2020-03-27,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",155,36,2020-03-28,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",241,86,2020-03-29,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",241,0,2020-03-30,"Colorado","Arapahoe",39.64977461,-104.3353617
